"ISO 3 Letter Code","SURVEYED COUNTRY","YEAR OF DATA","R_BOTH 
WHERE BOTH RANGER AND NON RANGER NUMBERS ARE LISTED
NUMBERS WHO ARE SPECIFICALLY IDENTIFIED AS RANGERS","NR_BOTH
  NUMBERS WHERE BOTH RANGER AND NON RANGER NUMBERS ARE LISTED
NUMBERS WHO ARE SPECIFICALLY IDENTIFIED AS NON RANGERS","R_ONLY
 NUMBERS WHERE ONLY RANGERS ARE LISTED (NON RANGER NUMBERS NOT PROVIDED)
NUMBERS WHO ARE SPECIFICALLY IDENTIFIED AS RANGERS","RNR_UND
NUMBERS PROVIDED AS AN UNDIFFERENTIATED TOTAL (COMBINED RANGERS AND NON RANGERS)","RNRT_1
TOTAL SURVEYED STAFF  (SUM D,E,F,G)","AREA OF PAs REPORTED  SURVEYED IN STAFF SURVEY SQ KM","AREA OF TERRESTRIAL PAS IN THE COUNTRY USED FOR CALCULATIONS (Higlighted IF DIFFERENT FROM WDPA)","TOTAL AREA OF TERRESTRIAL PAS IN THE COUNTRY in SQ KM (WDPA )","TOTAL TERRESTRIAL AREA OF  COUNTRY (WDPA)","RELIABILITY SCORE /25","UN CONT","UN SUBCONT","Forest_area_percent_total","Ecosystem Vitality Index (EVI New)","Species Protection Index (SPI.new )","EPI.new_2020","GDP_Per Capita","GDP_2019","GDP_growth","Unemployment_total","Rural_population_percentage","Adjusted net national income per capita","Population Density","PROPORTION IUCN CAT (I-IV)/(I-VI)","PROPORTION IUCN CAT (I-II)/(I-VI)","Notes"
"ABW","Aruba","2018",16,34,NA,NA,50,36,36,36,189,24,419,29,2.33333326048321,NA,NA,NA,29007.6930034887,NA,1.9999991044233,8.89999961853027,56.454,24399.6932501472,588.027777777778,NA,NA,"GDP_growth 2017; Unemployment_total 2011; Pop. density 2018; Income 2017; GDP_per.capita_2017; Forest%_2016"
"AFG","Afghanistan","2020",62,5,NA,NA,67,11481,23384,23384,642899,23,142,34,2.06782464846981,29.2,18,25.5,502.115486913067,19101353833,2.901228964,11.1836004257202,74.246,458.370737755325,56.937760009803,0.805189,0.737324,"Unemployment_total 2017; Pop. density 2018; Income 2018; Forest%_2016"
"AGO","Angola","2019",232,44,NA,NA,276,87507,87507,87507,1255218,25,2,17,46.3072104104837,35.9,66.6,29.7,2973.59115979868,94635415870,-0.86939379,7.3621997833252,33.823,1028.56471859024,24.7130520574316,0.997396,0.822886,"Unemployment_total 2011; Pop. density 2018; Income 2018; Forest%_2016"
"AIA","Anguilla","2020",0,3,NA,NA,3,10,10,10,86,17,419,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,NA,NA,"Source for pop. density (2020): https://www.worldometers.info/world-population/anguilla-population/"
"ALB","Albania","2017",111,163,NA,NA,274,4428,5344,5344,28747,21,150,39,28.1218970082972,52,92.2,49,5352.85741103671,15278077447,2.214063153,11.4654998779297,38.771,4201.07708408373,104.612262773723,0.796446,0.489449,"Pop. density 2018; Income 2018; Forest%_2016"
"ARE","United Arab Emirates","2019",390,5,NA,NA,395,13724,13724,13724,70921,18,142,145,4.55730785218402,55.9,80.3,55.6,43103.3230583165,4.21142e+11,1.677720371,2.22699999809265,13.211,39977.6915584674,135.609110109828,0.95564,0.025451,"Pop. density 2018; Income 2018; Forest%_2016"
"ARG","Argentina","2020",NA,NA,1043,NA,1043,156112,236109,236109,2785328,20,419,5,9.79840581825125,46.8,64.3,52.2,10006.1489736082,4.49663e+11,-2.16295212,9.84270000457764,8.009,9631.76369093399,16.2585100979651,0.310485,0.300624,"Pop. density 2018; Income 2018; Forest%_2016"
"ARM","Armenia","2014",759,625,NA,NA,1384,5160,7215,7215,29685,20,142,145,11.6684233300678,58.1,74.5,52.3,4622.73349328671,13672802158,7.6,18.9659004211426,36.781,3533.88353144239,103.680224798033,NA,NA,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"ATG","Antigua and Barbuda","2020",0,6,NA,NA,6,96,96,96,455,17,419,29,22.2727277062156,43.8,NA,48.5,17790.309306815,1727759259,4.65040225,8.42000007629395,75.494,NA,218.831818181818,0.057143,0.04881,"Unemployment_total 2011; Pop. density 2018; Forest%_2016; SPI=censored"
"AUS","Australia","2019",4742,3483,NA,NA,8225,1414187,1570580,1570580,7722102,20,9,53,16.2582780595994,63.8,92.4,74.9,54907.1019101424,1.39268e+12,1.89682574,5.15999984741211,13.876,43345.8711026031,3.24787091037205,0.329868,0.306778,"Pop. density 2018; Income 2018; Forest%_2016"
"AUT","Austria","2020",179,177,NA,NA,356,2871,24414,24414,83912,20,150,155,46.9057128369164,74,81.2,79.6,50277.2750874213,4.46315e+11,1.612959328,4.48659992218018,41.485,42094.9970111155,107.127966860564,0.11038,0.003858,"Pop. density 2018; Income 2018; Forest%_2016"
"AZE","Azerbaijan","2014",312,216,NA,NA,528,3718,8798,8798,86640,19,142,145,14.0996733412023,55.7,77.3,46.5,4793.58701966989,48047647059,2.218704277,4.84999990463257,43.969,3298.41073543451,120.23431716463,1,0.510065,"Pop. density 2018; Income 2018; Forest%_2016"
"BDI","Burundi","2019",273,26,NA,NA,299,2066,2066,2066,27211,25,2,14,10.9267915149344,30.5,67.1,27,261.247472515742,3012334882,1.842476677,1.57169997692108,86.634,205.600481351323,435.178271028037,0.913374,0.907885,"Unemployment_total 2014; Pop. density 2018; Income 2018; Forest%_2016"
"BEL","Belgium","2020/2017",38,38,NA,NA,76,4124.3,4733,4733,30683,23,150,155,22.5838846385558,64.8,100,73.3,46116.69923368,5.29607e+11,1.404455201,5.35970020294189,1.959,38859.971074517,377.379590488771,0.147422,0,"Pop. density 2018; Income 2018; Forest%_2016"
"BEN","Benin","2020",492,18,NA,NA,510,12800,34415,34415,116095,22,2,11,37.7882227740334,36.4,87.6,30,1219.43267185875,14390709095,6.865687335,2.64650011062622,52.139,1007.97267878576,101.853919829727,0.000208,0.000208,"Unemployment_total 2011; Pop. density 2018; Income 2018; Forest%_2016"
"BFA","Burkina Faso","2019",777,56,NA,NA,833,41158,45403,45403,276404,25,2,11,19.335527029651,50.9,99.6,38.3,774.8396902346,15745810235,5.688598986,4.69490003585815,70.02,605.120341792894,72.1912828947368,0.994709,0.032947,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"BGD","Bangladesh","2107",NA,NA,820,NA,820,6456,6456,6456,140160,19,142,34,10.9579782162869,52.2,52.2,29,1855.73982408046,3.02571e+11,8.152684947,4.37230014801025,62.595,1618.95996227485,1239.57931166936,0.996468,0.589179,"Unemployment_total 2017; Pop. density 2018; Income 2018; Forest%_2016"
"BGR","Bulgaria","2019",173,173,NA,NA,346,45503,45503,45503,110863,24,150,151,35.3739862856658,61.5,100,57,9737.60135083347,67927179737,3.371615546,4.22989988327026,24.653,8148.28832754398,64.7110998526161,0.588093,0.001452,"Pop. density 2018; Forest%_2016"
"BHS","Bahamas","2020",13,14,NA,NA,27,4930,4930,4930,13458,23,419,29,51.4485514485514,37,32.5,43.5,32933.4860147581,1.2827e+10,1.799255621,10,16.868,24321.4953367811,38.5254745254745,1,1,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"BIH","Bosnia and Herzegovina","2014",73,90,NA,NA,163,862,1858,1858,51225,19,150,39,42.67578125,46.4,41.5,45.4,6073.26520283208,20047848435,2.582627866,15.692099571228,51.374,5176.74836067831,64.92048828125,0.904808,0.471826,"Pop. density 2018; Income 2018; Forest%_2016"
"BLZ","Belize","2018",178,81,NA,NA,259,3537.42,8372,8372,22298,22,419,13,59.6790894036335,43,95.2,41.9,4815.1637107951,1879613600,0.266552937,6.59549999237061,54.134,3612.14956208241,16.7939938623411,0.516155,0.254152,"Unemployment_total 2017; Pop. density 2018; Income 2018; Forest%_2016"
"BOL","Bolivia","2021",294,112,NA,NA,406,170348,336407,336407,1089909,23,419,5,50.2861626511585,49.8,90.3,44.3,3552.0687621416,40895322865,2.216707101,3.82170009613037,30.227,2735.04591397353,10.4801458506416,1,0,"Pop. density 2018; Income 2018; Forest%_2016"
"BRA","Brazil","2018",1501,191,NA,NA,1692,804933,2584808,2584808,8529399,21,419,5,58.9310540383387,52.2,86.5,51.2,8717.18627810819,1.83976e+12,1.136585572,11.9333000183105,13.176,7483.43466888086,25.0617162430876,0.325246,0.317082,"Pop. density 2018; Income 2018; Forest%_2016"
"BTN","Bhutan","2021",334,69,NA,NA,403,16407,19835,19835,39933,25,142,34,72.484536714606,45.7,98.3,39.3,3243.23112593497,NA,3.02764071925384,2.45000004768372,58.388,2640.83776498574,19.7775277714448,0.849674,0.696879,"GDP_growth 2018; Unemployment_total 2015; Pop. density 2018; Income 2018; GDP_per.capita_2018; Forest%_2016"
"BWA","Botswana","2010 + 2014",371,1381,NA,NA,1752,62417,169370,169370,581163,15,2,18,18.9469408795855,53.8,93.4,40.4,7961.33814014048,18340510789,2.966135933,17.8600006103516,29.828,5852.25713787499,3.97742487604327,1,0.98346,"Unemployment_total 2010; Pop. density 2018; Income 2018; Forest%_2016"
"CAF","Central African Republic","2012",278,18,NA,NA,296,70145,112827,112827,624568,17,2,17,35.5619769344521,53.5,91.7,36.9,467.907440636335,2220307369,2.970275648,NA,58.23,435.555329117596,7.49041221227006,0.963076,0.264444,"Pop. density 2018; Forest%_2016"
"CAN","Canada","2013-2020",9293,1931,NA,NA,11224,968182,1185787,1185787,9955033,15,21,21,38.161546668998,57.3,98.2,71,46194.7252255167,1.73643e+12,1.656040854,5.66260004043579,18.518,37653.2813630371,4.07518823864492,0.961631,0.926433,"Pop. density 2018; Income 2018; Forest%_2016"
"CHE","Switzerland","2020",NA,NA,0,259,259,4750,4946,4946,41355,21,150,155,31.8301452005265,72.5,100,81.5,81993.7271494202,7.03082e+11,0.92883244,4.39410018920898,26.151,65569.265981801,215.465350480429,1,0.003728,"Pop. density 2018; Income 2018; Forest%_2016"
"CHL","Chile","2020",399,112,NA,NA,511,158788,158788,158788,759821,24,419,5,24.2569250862385,49.8,53.1,55.3,14896.4538665789,2.82318e+11,1.054442551,7.29029989242554,12.357,11844.5617786525,25.1894460666519,1,0.7788,"Pop. density 2018; Income 2018; Forest%_2016"
"CHN","China","2016",13000,32000,NA,NA,45000,1461913,1461913,1461913,9361609,20,142,30,22.3539418057329,34.4,10.4,37.3,10261.6791283744,1.43429e+13,6.108560627,5.15000009536743,39.692,7709.67155877119,148.348833270666,0.750751,0.731862,"Pop. density 2018; Income 2018; Forest%_2016"
"CIV","Cote d'Ivoire","2019",405,79,NA,NA,484,21067,74419,74419,324108,21,2,11,32.7062880797956,30.1,95.1,25.8,2286.162776855,58792205642,6.852334587,3.27250003814697,48.761,1902.84171935227,78.8340534591195,0.934368,0.850476,"Unemployment_total 2017; Pop. density 2018; Income 2016; Forest%_2016"
"CMR","Cameroon","2012",776,76,NA,NA,852,38250,51538,51538,469428,17,2,17,39.3391296989698,46.9,59.4,33.6,1497.90917560296,38760467033,4.017216043,3.53379988670349,43.032,1212.50151730117,53.3439889149796,1,0.859317,"Unemployment_total 2014; Pop. density 2018; Income 2018; Forest%_2016"
"COD","Congo, Dem. Rep.","2012",NA,NA,0,3671,3671,264157,324290,324290,2344275,18,2,17,67.165079618888,45.7,86.2,36.4,545.216212311342,47319624204,4.384528881,4.48519992828369,54.954,401.999126816817,37.0825923557045,0.515278,0.515278,"Unemployment_total 2012; Pop. density 2018; Income 2018; Forest%_2016"
"COG","Congo, Rep.","2014",303,300,NA,NA,603,39924,126472,126472,343737,16,2,17,65.3546108620059,39.2,88.4,30.8,2011.07239887663,10820591131,-0.9,10,32.627,578.944087149238,15.3568462664715,0.999405,0.345895,"Unemployment_total 2012; Income 2018; Forest%_2016"
"COL","Colombia","2019",1006,96,NA,NA,1102,178534,193618,193618,1145033,25,419,5,52.7039382886435,51.6,69.3,52.9,6432.38758339551,3.23803e+11,3.322212789,9.96140003204346,18.896,5134.25731882059,44.7487021180712,0.799528,0.795462,"Pop. density 2018; Income 2018; Forest%_2016"
"CPV","Cabo Verde","2014",NA,NA,0,31,31,120,120,120,4149,19,2,11,22.545905858648,34.5,NA,32.8,3603.7817936777,1981845741,5.66775246,11.289999961853,33.805,2827.993061768,134.929776674938,0,NA,"Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"CRI","Costa Rica","2018",409,72,NA,NA,481,12885,14673,14673,51636,22,419,13,54.5671749152346,47.2,88.5,52.5,12238.3749643984,61773944174,2.083859938,11.4905996322632,19.924,10783.8396374415,97.9130630630631,0.531165,0.338023,"Pop. density 2018; Income 2018; Forest%_2016"
"CUB","Cuba","2020",2070,600,NA,NA,2670,14494,18119,18119,111643,20,419,29,31.2786012080009,47,45,48.4,8821.81889125004,NA,2.24848039303581,1.70000004768372,22.891,6928.87038108555,108.999596231494,0.542157,0.355948,"GDP_growth 2018; Unemployment_total 2018; Pop. density 2018; Income 2016; GDP_per.capita_2018; Forest%_2016"
"CYM","Cayman Islands","2020",11,2,NA,NA,13,31,31,31,289,23,419,29,52.9166658719379,NA,NA,NA,85477.2870130687,NA,3.27557324673195,4.23999977111816,0,NA,267.391666666667,1,0.786667,"GDP_growth 2018; Unemployment_total 2015; Pop. density 2018; GDP_per.capita_2018; Forest%_2016"
"CZE","Czechia","2018",682,115,NA,NA,797,12997,17268,17268,77917,24,150,151,34.5635845635846,72.9,100,71,23101.7777049854,2.46489e+11,2.565931233,2.01430010795593,26.079,14972.1126913926,137.657705257705,0.027575,0.000249,"Pop. density 2018; Income 2017; Forest%_2016"
"DEU","Germany","2020",NA,NA,0,2350,2350,81248,135166,135166,357584,19,150,155,32.6912067781085,68.9,99.9,77.2,46258.8782897052,3.84563e+12,0.564174893,3.13910007476807,22.624,40284.9609089805,237.30759674834,0.027065,0.001378,"Pop. density 2018; Income 2018; Forest%_2016"
"DMA","Dominica","2020",36,8,NA,NA,44,168,168,168,766,24,419,29,57.413335164388,43.1,NA,44.6,8300.37507427213,596033333.3,5.663680185,10.960000038147,29.214,5567.53356448392,95.5,0.412289,0.379584,"Unemployment_total 2001; Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"DNK","Denmark","2019",NA,NA,0,67,67,2492,7691,7691,45314,16,150,154,14.6992134008841,76.4,100,82.5,59822.0929608968,3.48078e+11,2.365846456,5.0177001953125,12.006,52641.1345237896,137.976565849012,0.668262,0.005942,"Pop. density 2018; Income 2018; Forest%_2016"
"DOM","Dominican Republic","2021",1050,72,NA,NA,1122,12727,12727,12727,48510,25,419,29,41.7346295005564,53.2,87.2,46.3,8282.1162218645,88941298258,5.087176037,6.35599994659424,18.172,7197.23241335064,219.97857586421,0.843624,0.753631,"Pop. density 2018; Income 2018; Forest%_2016"
"DZA","Algeria","2018",207,372,NA,NA,579,88930,107865,107865,2324459,21,2,15,0.824439265237154,41,47.3,44.8,3948.34327892571,1.69988e+11,0.8,13.5699996948242,26.811,3098.85173284358,17.7300750711665,1,1,"Unemployment_total 2017; Pop. density 2018; Income 2018; Forest%_2016"
"ECU","Ecuador","2020",NA,NA,831,NA,831,52676,57706,57706,258139,19,419,5,50.2059526116323,51.5,66.1,51,6183.82382482173,1.07436e+11,0.053718829,3.81209993362427,36.014,4626.43676023861,68.7886817522951,1,1,"Pop. density 2018; Income 2018; Forest%_2016"
"EGY","Egypt","2017",692,120,NA,NA,812,129390,129390,129390,984997,21,2,15,0.0739364091356885,49.7,65.1,43.3,3020.03134971543,3.03175e+11,5.557683888,9.81729984283447,57.27,2216.49061461786,98.8734692852479,0.160821,0.069612,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"ESP","Spain","2016-8",619,1378,NA,NA,1997,44328,142573,142573,507013,18,150,39,36.9362095289658,66,98.1,74.3,29613.6711379783,1.39412e+12,1.979100561,14.1042003631592,19.435,25698.3391481211,93.6771974435832,0.535272,0.397952,"Pop. density 2018; Income 2018; Forest%_2016"
"EST","Estonia","2014",NA,NA,0,513,513,8175,9633,9633,45416,16,150,154,51.3365561917702,60.1,100,65.3,23659.8722900339,31386949981,4.334487473,4.44820022583008,30.949,19214.4895570302,30.4112491373361,0.051919,0,"Pop. density 2018; Income 2018; Forest%_2016"
"ETH","Ethiopia","2019",1005,164,NA,NA,1169,178725,178725,178725,1135429,23,2,14,12.539599609375,40.6,81,34.4,857.501351042922,96107662398,8.281361047,2.25090003013611,78.775,561.981561865175,109.224559,0.586074,0.481994,"Unemployment_total 2013; Pop. density 2018; Income 2018; Forest%_2016"
"FIN","Finland","2017",100,332,NA,NA,432,35309,44914,44914,337726,22,150,154,73.1071698858215,65.3,99.6,78.9,48685.8539866945,2.68761e+11,0.97958181,6.69469976425171,14.554,41000.9548123646,18.1485472672831,0.979201,0.586086,"Pop. density 2018; Income 2018; Forest%_2016"
"FRA","France","2017",1673,1838,NA,NA,3511,149747,149774,149774,548954,16,150,155,31.2332784422626,72.3,100,80,40493.9285720456,2.71552e+12,1.508594035,8.44340038299561,19.291,34835.0121510307,122.299437237519,0.020541,0.006753,"Pop. density 2018; Income 2018; Forest%_2016"
"GAB","Gabon","2014",324,250,NA,NA,574,34595,59708,59708,266045,16,2,17,90.03764504987,57.8,90.6,45.8,7667.36686126914,16657960228,3.394110152,20.3899993896484,10.259,5205.09943218893,8.22476423332169,1,0,"Unemployment_total 2010; Pop. density 2018; Income 2018; Forest%_2016"
"GBR","United Kingdom","2020",3760,530,NA,NA,4290,70478,70478,70478,245248,21,150,154,13.0657628239573,74.3,100,81.3,42300.267125825,2.82711e+12,1.408642101,3.73720002174377,16.348,35825.1122744202,274.708981936924,0.092977,0.001956,"Pop. density 2018; Income 2018; Forest%_2016"
"GEO","Georgia","2014",313,96,NA,NA,409,6501,6501,6501,69972,23,142,145,40.6159145538027,43.1,75.8,41.3,4769.18654326351,17743195770,5.136813264,11.565299987793,40.961,4014.09043156679,65.0477623429791,0.949039,0.831891,"Income 2018; Forest%_2016"
"GHA","Ghana","2019",710,87,NA,NA,797,14840,36675,36675,240330,22,2,11,41.1593583133735,32.6,88.9,27.6,2202.11556738065,66983634224,6.478394805,4.22279977798462,43.293,1461.73735287303,130.821429199262,0.679883,0.307608,"Unemployment_total 2017; Pop. density 2018; Income 2018; Forest%_2016"
"GIN","Guinea","2020",137,106,NA,NA,243,30000,88286,88286,246427,22,2,11,25.7528894676868,31.5,71.6,26.4,1064.13123736656,13590281809,5.576968903,4.54879999160767,63.5,709.085665538101,50.5222122741332,1,0.002247,"Unemployment_total 2002; Pop. density 2018; Income 2018; Forest%_2016"
"GLP","Guadeloupe","2020",28,40,NA,NA,68,1172,1172,1172,1679,23,419,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,1,0,"Source for pop. density (2020): https://www.worldometers.info/world-population/guadeloupe-population/"
"GMB","Gambia","2017",180,25,NA,NA,205,660,830,830,10758,21,2,11,48.3794472434304,32.1,48.3,27.9,751.294688388742,1763819048,5.975204332,10.1648998260498,38.069,582.331772251228,225.30652173913,0.427339,0.427339,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"GNB","Guinea-Bissau","2018",56,39,NA,NA,95,8480,8954,8954,34016,23,2,11,69.7724039829303,38.4,73.3,29.1,697.784402885715,1340389411,4.600094045,NA,56.223,696.184029122813,66.6539473684211,NA,NA,"Pop. density 2018; Income 2018; Forest%_2016"
"GNQ","Equatorial Guinea","2020",40,13,NA,NA,53,5228,5228,5228,27136,24,2,17,55.4866318864192,45.1,75.6,38.1,8131.92388810912,11026774945,-5.57630845,25,27.373,3881.81905984427,46.6657397504456,1,0.82479,"Unemployment_total 1983; Pop. density 2018; Income 2018; Forest%_2016"
"GRL","Greenland","2012",NA,NA,13,NA,13,885525,885525,885525,2154016,14,21,21,0.000535997073475227,NA,NA,NA,54470.9563864255,NA,3.21802733064499,9.10000038146973,12.948,NA,0.136491655500061,1,0.999436,"GDP_growth 2018, Unemployment_total 2015; Pop. density 2018; GDP_per.capita_2018; Forest%_2016"
"GTM","Guatemala","2018",727,386,NA,NA,1113,13716,22166,22166,109922,21,419,13,32.6950363723054,32.5,56.8,31.8,4619.98709708493,76710385880,3.845997853,2.46199989318848,48.561,3741.49825290508,152.547125793206,0.912234,0.691905,"Unemployment_total 2017; Pop. density 2018; Income 2018; Forest%_2016"
"GUF","French Guiana","2020",12,80,NA,NA,92,34000,43588,43588,83035,22,419,5,NA,NA,NA,NA,NA,NA,NA,NA,38.103,NA,4,0.549082,0.498516,"Source for pop. density (2020): https://www.worldometers.info/world-population/french-guiana-population/"
"GUY","Guyana","2020",41,62,NA,NA,103,17953,17953,17953,211200,25,419,5,83.9014478028956,37.5,57.8,35.9,5468.35662903592,4280443645,4.695891722,14.0190000534058,73.311,4048.1238294829,3.95734823469647,0,0,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"HND","Honduras","2018",48,64,NA,NA,112,21923,26568,26568,113291,21,419,13,39.967825542944,40.7,75.2,37.8,2574.91219067443,25095395475,2.65276116,5.6975998878479,42.27,2141.25089204779,85.6870319063366,0.412869,0.355887,"Pop. density 2018; Income 2018; Forest%_2016"
"HRV","Croatia","2020",193,381,NA,NA,574,21811,21811,21811,56856,24,150,39,34.3531098001083,64.3,100,63.1,14853.2398374635,60415553039,2.93606564,6.61660003662109,42.758,12588.0122395844,73.0493745532523,0,NA,"Pop. density 2018; Income 2018; Forest%_2016"
"HTI","Haiti","2020",109,55,NA,NA,164,1954,2357,2357,27390,20,419,29,3.49056592700443,30.5,31.1,27,754.58791774842,8498981821,-0.93487001,14.1000003814697,43.808,805.294210104653,403.59854862119,0.45776,0.247403,"Unemployment_total 2012; Pop. density 2018; Income 2018; Forest%_2016"
"HUN","Hungary","2014",253,558,NA,NA,811,8074,21048,21048,93142,18,150,151,22.9051154054595,70,100,63.7,16475.7418389402,1.60967e+11,4.927792275,3.41910004615784,28.356,12895.6609219924,107.981486799956,0.08301,0.01867,"Pop. density 2018; Income 2018; Forest%_2016"
"IDN","Indonesia","2019",2197,4427,NA,NA,6624,141425,231946,231946,1906555,22,142,35,49.8603981974199,43.7,71.7,37.8,4135.56926281554,1.11919e+12,5.024714022,3.62100005149841,44.015,2998.69009203995,147.75219008926,0.864967,0.721491,"Pop. density 2018; Income 2018; Forest%_2016"
"IND","India","2018-2020",42362,10418,NA,NA,52780,160415,230168,230168,3061193,18,142,34,23.833121474746,35.2,63,27.6,2104.14590003333,2.87514e+12,5.023873428,5.32969999313354,65.528,1735.32939728826,454.938072575247,0.929795,0.188436,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"IRL","Ireland","2020",90,330,NA,NA,420,10123,10123,10123,70128,25,150,154,11.0277255364644,58.6,98.4,72.8,78660.9564629603,3.88699e+11,5.549767053,4.94920015335083,36.595,42176.7767727195,70.6534475250399,1,0,"Pop. density 2018; Income 2018; Forest%_2016"
"IRN","Iran (Islamic Republic of)","2020",3500,3500,NA,NA,7000,113584,140226,140226,1627857,19,142,34,6.56449106605639,47.8,62.6,48,5520.31078932382,NA,3.75518736694957,11.1400003433228,24.609,4352.30698580842,50.222420123284,0.429547,0.074983,"GDP_growth 2017; Pop. density 2018; Income 2017; GDP_per.capita_2017; Forest%_2016"
"ISL","Iceland","2020",63,31,NA,NA,94,20154,20354,20354,102302,20,150,154,0.503740648379052,55,92.8,72.3,66944.8255080349,24188035739,1.918676882,3.50740003585815,6.145,58080.2949925939,3.51841396508728,0.561489,0.431655,"Pop. density 2018; Income 2018; Forest%_2016"
"ISR","Israel","2020",178,1122,NA,NA,1300,4494,5133,5133,20958,24,142,145,7.72643239132357,54,79.6,65.8,43641.3977358108,3.95099e+11,3.514084546,3.80299997329712,7.499,36155.1950600599,410.480591497227,1,0,"Pop. density 2018; Income 2018; Forest%_2016"
"ITA","Italy","2018",2181,5753,NA,NA,7934,31744,64767,64767,301335,24,150,39,31.7903032728888,61.3,94.9,71,33189.5657988542,2.00124e+12,0.301256161,9.95139980316162,29.264,28832.1420570298,205.418372203713,0.77488,0.497011,"Pop. density 2018; Income 2018; Forest%_2016"
