"ISO 3 Letter Code","SURVEYED COUNTRY","YEAR OF DATA","R_BOTH 
"VGB","British Virgin islands","2020",10,5,NA,NA,15,16,16,16,176,18,419,29,24.1333325703939,NA,NA,NA,NA,NA,NA,3.28999996185303,51.884,NA,198.68,1,1,"Unemployment_total 1991; Pop. density 2018; Forest%_2016"
"VNM","Vietnam","2020",2277,1005,NA,NA,3282,24994,24994,24994,329880,24,142,35,48.0601154577999,28.5,66.6,33.4,2715.27603640721,2.61921e+11,7.017434882,2.03979992866516,63.372,2106.66192417329,308.125245912213,0.882936,0.503801,"Pop. density 2018; Income 2018; Forest%_2016"
"ZAF","South Africa","2017",4372,2438,NA,NA,6810,73749,106157,106157,1224385,20,2,18,7.61773652408313,51,79.4,43.1,6001.40081394888,3.51432e+11,0.152583317,28.4680995941162,33.144,5117.29160875369,47.6301197767684,NA,NA,"Pop. density 2018; Income 2018; Forest%_2016"
"ZMB","Zambia","2020",911,400,NA,NA,1311,240800,311733,311733,755640,17,2,14,65.1991531194931,43.9,96.7,34.7,1291.34335737364,23064722446,1.705792875,12.006199836731,55.928,1128.28341666014,23.3414789007116,0.292226,0.291259,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"ZWE","Zimbabwe","2020",NA,NA,338,NA,338,13197,311773,311773,392573,10,2,14,35.5424573074189,46.7,94.8,37,1463.98591018054,21440758800,-8.1000002,16.8565998077393,67.79,1379.00324327751,37.3245909267158,0.583602,0.5793,"Pop. density 2018; Income 2018; Forest%_2016"
"ZZZ","W African Country","2020",357,100,NA,NA,457,42756,52240,52240,197924,23,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.34748,0.976257,0.00342,"Pop. density 2018; GDP 2018; Unemployment 2017"
"ALA","Åland Islands",NA,NA,NA,NA,NA,NA,NA,26,26,1553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,127,127,472,NA,150,39,34.0425531914894,NA,NA,NA,40886.3911648431,3154057987.23833,1.84923825726078,NA,12.016,NA,163.842553191489,0.59196,0,"Pop. density 2018; Forest%_2016"
"ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,33,33,211,NA,9,61,87.5,NA,NA,NA,11466.6907058505,6.36e+08,2.18487394957982,9.19999980926514,12.853,NA,277.325,1,0.333333,"GDP_growth 2018; Unemployment_total 2010; Pop. density 2018; GDP 2018; GDP_per.capita_2018; Forest%_2016"
"ATA","Antarctica",NA,NA,NA,NA,NA,NA,NA,0,0,1.4e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATF","French Southern Territories",NA,NA,NA,NA,NA,NA,NA,7847,7847,7855,NA,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BES","Bonaire, Sint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,92,92,323,NA,419,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.9,1,1,"Pop. density source (2020): http://data.un.org/en/iso/bq.html"
"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,45,45,687,NA,142,145,0.784061684289783,52.2,NA,51,23503.977126673,38574069148.9362,1.81956900625906,1.20000004768372,10.606,20094.2843705576,2017.27369979138,1,0.806452,"Unemployment_total 2012; Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,5,5,25,NA,419,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,28687,28687,207228,NA,150,151,42.6301064968239,51.1,99.2,53,6663.29529282582,63080457022.6599,1.22209662862558,4.15999984741211,20.956,5153.21210115544,46.7195037884204,1,0.318243,"Pop. density 2018; Income 2018; Forest%_2016"
"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,2,2,72,NA,21,21,18.5185181914697,NA,NA,NA,85748.0654143782,5573710000,-2.51115443098975,8.9399995803833,0,NA,1183.70368279874,1,0.727273,"GDP_growth 2013; Unemployment_total 2014; Pop. density 2018; GDP 2013; GDP_per.capita_2013; Forest%_2016"
"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,6,6,444,NA,419,29,14.6511632342671,35.6,NA,45.6,18148.2449264001,5.209e+09,-0.0961355529131964,9.72000026702881,68.842,15199.6133347295,666.606976744186,1,0.823529,"Unemployment_total 2016; Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"BRN","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,2794,2794,5962,NA,142,35,72.1062618595825,42,NA,54.8,31086.7510792939,13469422941.3919,3.86910980288788,6.92309999465942,22.058,24019.6100425007,81.3969639468691,0.979626,0.979626,"Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"BVT","Bouvet Island",NA,NA,NA,NA,NA,NA,NA,44,44,51,NA,419,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCK","Cocos (Keeling) Islands",NA,NA,NA,NA,NA,NA,NA,0,0,18,NA,9,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,"Pop. density source: https://en.wikipedia.org/wiki/Cocos_(Keeling)_Islands"
"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,65,65,258,NA,9,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,1,0,"Source for pop. density (2020): https://www.worldometers.info/world-population/cook-islands-population/"
"COM","Comoros",NA,NA,NA,NA,NA,NA,NA,574,574,1701,NA,2,14,19.6668443169007,35.3,NA,32.1,1393.52237156461,1185728676.65112,2.71525946491546,8.14249992370605,70.836,1287.84030597507,447.244477540227,NA,NA,"Unemployment_total 2014; Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"CUW","Curaçao",NA,NA,NA,NA,NA,NA,NA,71,71,451,NA,419,29,NA,NA,NA,NA,19573.892645136,3127908044.69274,-2.16613107776222,13.4300003051758,10.902,NA,360.754504504504,1,1,"GDP_growth 2018; Unemployment_total 2018; Pop. density 2017; GDP 2018; GDP_per.capita_2018"
"CXR","Christmas Island",NA,NA,NA,NA,NA,NA,NA,88,88,142,NA,9,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.39,1,1,"Pop. density source: https://en.wikipedia.org/wiki/Christmas_Island"
"CYP","Cyprus",NA,NA,NA,NA,NA,NA,NA,3498,3498,9063,NA,142,145,18.6872292390633,53.7,NA,64.8,27858.3709958327,24564647934.6244,3.23009031446846,7.07359981536865,33.195,26327.562243961,128.708333333333,0.115933,0.002045,"Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"DJI","Djibouti",NA,NA,NA,NA,NA,NA,NA,344,344,21844,NA,2,14,0.241587571381906,33.4,32.9,28.1,3408.84625440837,3318716359.44182,7.47031842181347,NA,22.085,2785.07686698735,41.3684210526316,NA,NA,"Pop. density 2018; Income 2018; Forest%_2016"
"ERI","Eritrea",NA,NA,NA,NA,NA,NA,NA,5936,5936,121834,NA,2,14,14.9069304513459,40.4,55.8,30.4,642.507659063694,2065001626.01626,8.67979993646819,NA,64.229,452.189657083453,31.8215049504951,1,0,"GDP_growth 2011; Income 2011; Pop. density 2011; Rural pop. 2011; GDP 2011; GDP_per.capita_2011; Forest%_2016"
"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,616,616,268339,NA,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"Source for pop. density (2020): https://www.worldometers.info/world-population/western-sahara-population/"
"FJI","Fiji",NA,NA,NA,NA,NA,NA,NA,1037,1037,19155,NA,9,54,55.9419812566278,34.2,19,34.4,6220.04642089247,5535548972.41252,1.0632603443498,4.31949996948242,43.25,5137.37930093148,48.3570333880679,0.856853,0.840203,"Unemployment_total 2016; Pop. density 2018; Income 2018; Forest%_2016"
"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,61,61,12401,NA,419,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,"Source for pop. density (2020): https://www.worldometers.info/world-population/falkland-islands-malvinas-population/"
"FRO","Faroe Islands",NA,NA,NA,NA,NA,NA,NA,34,34,1451,NA,150,154,0.0573065864714499,NA,NA,NA,58622.840815806,2833300519.46872,NA,3.70000004768372,57.775,NA,34.7399698278226,NA,NA,"Unemployment_total 2004; Pop. density 2018; GDP 2017; GDP_per.capita_2017; Forest%_2016"
"FSM","Micronesia (Federated States of)",NA,NA,NA,NA,NA,NA,NA,0,0,817,NA,9,57,91.8571472167969,34.5,NA,33,3568.291015625,401932300,0.211653600126766,8.86250019073486,77.188,3369.08557670145,160.914285714286,0,0,"GDP_growth 2018; Unemployment_total 2014; Pop. density 2018; Income 2018; GDP 2017; GDP_per.capita_2018; Forest%_2016; SPI=censored"
"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,3,3,86,NA,150,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,965,NA,NA,"Pop. density source: https://en.wikipedia.org/wiki/Guernsey"
"GIB","Gibraltar",NA,NA,NA,NA,NA,NA,NA,0.35,3,86,NA,150,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3369,NA,NA,"Source for pop. density (2020): https://www.worldometers.info/world-population/gibraltar-population/"
"GRC","Greece",NA,NA,NA,NA,NA,NA,NA,46842,46842,133012,NA,150,39,31.6850267740254,61.4,86,69.1,19582.5360108329,209852761468.681,1.87086967360185,17.3129997253418,20.612,16994.1722978617,83.2651823118697,0.709121,0.001467,"Pop. density 2018; Income 2018; Forest%_2016"
"GRD","Grenada",NA,NA,NA,NA,NA,NA,NA,36,36,374,NA,419,29,49.9705875621124,40.9,NA,43.1,10965.5131592044,1228170370.37037,3.12631698382337,22.8999996185303,63.604,NA,327.805882352941,0.863501,0.863501,"Unemployment_total 2015; Pop. density 2018; Forest%_2016; SPI=censored"
"GUM","Guam",NA,NA,NA,NA,NA,NA,NA,25,25,561,NA,9,57,46.2962962962963,NA,NA,NA,35712.5621350321,5.92e+09,-0.268353459842814,5.40000009536743,5.14100000000001,NA,306.977777777778,0.73913,0.347826,"GDP_growth 2018; Unemployment_total 2016; Pop. density 2018; GDP 2018; GDP_per.capita_2018; Forest%_2016"
"HKG","Hong Kong",NA,NA,NA,NA,NA,NA,NA,462,462,1102,NA,142,30,NA,NA,NA,NA,48755.8350791287,366029556273.051,-1.1882723496098,2.96000003814697,0,5131.0694364786,7096.19047619048,0.058608,0,"Pop. density 2018; Income 1980"
"HMD","Heard Island and McDonald Islands",NA,NA,NA,NA,NA,NA,NA,391,391,391,NA,9,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Pop. density source: https://en.wikipedia.org/wiki/Geography_of_the_Heard_and_McDonald_Islands"
"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,32,32,582,NA,150,154,6.070175505521,NA,NA,NA,80989.1722114502,6770532818.53282,3.60000000000001,2.66732120513916,47.265,NA,147.50350877193,1,0,"GDP_growth 2017; Unemployment_data 2016; Pop. density 2018; GDP 2017; GDP_per.capita_2017; Forest%_2016"
"IOT","British Indian Ocean Territory",NA,NA,NA,NA,NA,NA,NA,69,69,69,NA,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,"Pop. density source: https://en.wikipedia.org/wiki/British_Indian_Ocean_Territory"
"IRQ","Iraq",NA,NA,NA,NA,NA,NA,NA,6714,6714,437831,NA,142,145,1.90036114959972,39.4,37.2,39.5,5955.10901036816,234094042938.917,4.40091339515327,13.0200004577637,29.322,4350.64393508545,88.5305700354617,1,0.003118,"Unemployment_total 2017; Pop. density 2018; Income 2018; Forest%_2016"
"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,22,22,125,NA,150,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,912,NA,NA,"Pop. density source: https://en.wikipedia.org/wiki/Jersey"
"KIR","Kiribati",NA,NA,NA,NA,NA,NA,NA,231,231,1033,NA,9,57,14.9999995290498,47.5,NA,37.7,1655.07883905984,194647201.946472,2.24736596252662,9.33450031280518,45.165,2983.14799732767,143.020987654321,1,0.717491,"Unemployment_total 2015; Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"KWT","Kuwait",NA,NA,NA,NA,NA,NA,NA,2979,2979,17418,NA,142,145,0.350729517396184,51.2,92.9,53.6,32031.9801025988,134761198945.982,0.412348552959656,2.16000008583069,0,31628.7677669658,232.172390572391,0.796673,0.124283,"Unemployment_total 2016; Pop. density 2018; Income 2018; Forest%_2016"
"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,71,71,167,NA,150,155,43.1250005960464,NA,NA,NA,173356.051288416,6552858738.70214,-1.15748291975636,2.00999999046326,85.629,NA,236.9375,0.131535,0.06914,"GDP_growth 2009; Unemployment_total 2007; Pop. density 2018; GDP 2017; GDP_per.capita_2017; Forest%_2016"
"LUX","Luxembourg",NA,NA,NA,NA,NA,NA,NA,1333,1333,2603,NA,150,155,35.6790110898116,75.4,NA,82.3,114704.594170863,71104919108.1411,2.29697916603786,5.59469985961914,8.777,60188.5669817921,250.185185185185,1,0.933382,"Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"MAC","Macau",NA,NA,NA,NA,NA,NA,NA,0,0,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAF","Saint Martin (French part)",NA,NA,NA,NA,NA,NA,NA,5,5,60,NA,419,29,18.3823529411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,672.058823529412,1,0,"Pop. density 2018; Forest%_2015"
"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,150,155,NA,NA,NA,NA,185829.017960407,7188238072.74445,6.10000047479944,6.32999992370605,0,NA,19196,1,0,"GDP_growth 2018; Unemployment_total 2016; Pop. density 2017; GDP 2017; GDP_per.capita_2018"
"MDV","Maldives",NA,NA,NA,NA,NA,NA,NA,7,7,305,NA,142,34,3.33333333333333,27.4,NA,35.6,10790.50023682,5729248472.24028,5.21599925714978,6.11990022659302,59.762,8058.14146281482,1718.98666666667,0.424242,0.060606,"Unemployment_total 2016; Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"MHL","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,34,34,282,NA,9,57,70.2222241295711,NA,NA,30.8,3788.16359372058,221278000,3.6247527596621,4.73999977111816,22.583,NA,324.516666666667,0.216418,0.216418,"GDP_growth 2018; Unemployment_total 2011; Pop. density 2018; GDP 2017; GDP_per.capita_2018; Forest%_2016; SPI=censored"
"MLT","Malta",NA,NA,NA,NA,NA,NA,NA,100,100,325,NA,150,39,1.09374998137355,60.5,NA,70.7,29416.2306070084,14786156563.3046,4.38409628323227,3.39459991455078,5.322,NA,1514.46875,0.353333,0.023333,"Pop. density 2018; Forest%_2016; SPI=censored"
"MNP","Northern Mariana Islands",NA,NA,NA,NA,NA,NA,NA,38,38,501,NA,9,57,63.782609027365,NA,NA,NA,23258.6758552794,1.323e+09,-19.6078431372549,11.1700000762939,8.292,NA,123.65652173913,0.024691,0.004115,"GDP_growth 2018; Unemployment_total 2010; Pop. density 2018; GDP 2018; GDP_per.capita_2018; Forest%_2016"
"MTQ","Martinique",NA,NA,NA,NA,NA,NA,NA,926,926,1150,NA,419,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,0.014554,0,"Source for pop. density (2020): https://www.worldometers.info/world-population/martinique-population/"
"MUS","Mauritius",NA,NA,NA,NA,NA,NA,NA,97,97,2062,NA,2,14,19.0344824579549,35.3,NA,45.1,11203.5405848607,14180444557.2047,3.55078438012413,6.42649984359741,59.234,10369.3136522126,623.30197044335,1,0.628812,"Unemployment_total 2018, Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"MYT","Mayotte",NA,NA,NA,NA,NA,NA,NA,55,55,396,NA,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,728,0.273305,0,"Source for pop. density (2020): https://www.worldometers.info/world-population/mayotte-population/"
"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,11419,11419,19141,NA,9,54,45.8971553610503,NA,NA,NA,12579.5951055864,2682347064.3642,2.10010884233,14.5900001525879,28.896,NA,15.5393873085339,0.24408,0.038555,"GDP_growth 2000; Unemployment_total 2014; Pop. density 2018; GDP 2000; GDP_per.capita_2000; Forest%_2016"
"NFK","Norfolk island",NA,NA,NA,NA,NA,NA,NA,20,20,43,NA,9,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.9,0.188776,0.183673,"Pop. density source:https://en.wikipedia.org/wiki/Norfolk_Island"
"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,55,55,268,NA,9,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.011236,0,"Source of pop. density (2020): https://www.worldometers.info/world-population/niue-population/"
"NRU","Nauru",NA,NA,NA,NA,NA,NA,NA,0,0,21,NA,9,57,0,NA,NA,NA,9396.98196681072,118223430.124446,6.09756097560977,13.2815999984741,0,NA,635.2,NA,NA,"GDP_growth 2018; Unemployment_total 2013; Pop. density 2018; Forest%_2016"
"OMN","Oman",NA,NA,NA,NA,NA,NA,NA,11112,11112,310373,NA,142,145,0.00646203554119548,35.2,42.6,38.5,15474.0324753635,76983094928.4785,0.499999999999986,1.79999995231628,14.557,9239.20648700826,15.6041453957997,0.944252,0.915045,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"PCN","Pitcairn",NA,NA,NA,NA,NA,NA,NA,43,43,46,NA,9,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19,NA,NA,"Pop. density source: https://en.wikipedia.org/wiki/Pitcairn_Islands"
"PLW","Palau",NA,NA,NA,NA,NA,NA,NA,221,221,501,NA,9,57,87.6086939936098,NA,NA,NA,15859.4348578768,283994900,1.70551858341909,1.35689997673035,19.53,NA,38.9282608695652,0.834667,0.264,"GDP_growth 2018; Unemployment_total 2014; Pop. density 2018; GDP 2018; GDP_per.capita_2018; Forest%_2016"
"PRI","Puerto Rico",NA,NA,NA,NA,NA,NA,NA,667,667,9041,NA,419,29,56.28635961281,NA,NA,NA,32873.7192730424,104988600000,1.18766355536251,8.30000019073486,6.42400000000001,NA,360.017361894025,0.098347,0.005324,"Pop. density 2018; Forest%_2016"
"PRK","Democratic People's Republic of Korea",NA,NA,NA,NA,NA,NA,NA,2976,2976,122186,NA,142,30,40.7275143260527,NA,NA,NA,NA,NA,NA,NA,37.866,NA,212.190175234615,1,0.4985,"Pop. density 2018; Forest%_2016"
"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,74,74,3780,NA,9,61,42.3497267759563,NA,NA,NA,14323.820820245,3447543137.9415,4.0000003434361,11.7399997711182,38.103,NA,75.8685792349727,1,0,"GDP_growth 2000; Unemployment_total 2007; Pop. density 2018; GDP 2000; GDP_per.capita_2000; Forest%_2016"
"QAT","Qatar",NA,NA,NA,NA,NA,NA,NA,1805,1805,11436,NA,142,145,0,23.9,2.8,37.1,64781.7331974169,183466208791.209,-0.183327100617944,0.109999999403954,0.811999999999998,51536.2717211952,239.593195521103,NA,NA,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"SAU","Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,92064,92064,1934058,NA,142,145,0.454484134921779,41.8,56.6,44,23139.7986561214,792966838161.659,0.331435726946069,6.03999996185303,15.935,18798.7633400536,15.6766543082956,0.197147,0.194795,"Unemplyment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"SDN","Sudan",NA,NA,NA,NA,NA,NA,NA,42698,42698,1871252,NA,2,15,NA,44.1,46.6,34.8,441.505603374484,18902284475.6054,-2.55550593992368,17.4398002624512,65.064,764.36080711332,22.60479,0.720649,0.675905,"Unemployment_total 2011; Income 2018; Pop. density 2018"
"SGS","South Georgia and the South Sandwich Islands",NA,NA,NA,NA,NA,NA,NA,505,505,3972,NA,419,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"SHN","Saint Helena, Ascension and Tristan da Cunha",NA,NA,NA,NA,NA,NA,NA,164,164,434,NA,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0.430939,0,"Pop. density numbers only from Saint Helena, source (2020): https://www.worldometers.info/world-population/saint-helena-population/"
"SJM","Svalbard and Jan Mayen",NA,NA,NA,NA,NA,NA,NA,39738,39738,61261,NA,150,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,1,0.999613,"Source of pop. density: https://en.wikipedia.org/wiki/Svalbard"
"SLB","Solomon Islands",NA,NA,NA,NA,NA,NA,NA,530,530,29192,NA,9,54,77.8635191977045,30.9,0,26.7,2127.53850760272,1425074225.77798,2.69398505322623,0.693899989128113,75.79,1468.71303509868,23.324687388353,0.677632,0.167763,"Unemployment_total 2013; Pop. density 2018; Income 2018; Forest%_2016"
"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,0,0,61,NA,150,39,0,NA,NA,NA,48481.0133042107,1637931034.48276,1.17252931323284,5.80000019073486,2.63200000000001,NA,563.083333333333,NA,NA,"GDP_growth 2018; Pop. density 2018; GDP 2018; GDP_per.capita_2018; Forest%_2016"
"SOM","Somalia",NA,NA,NA,NA,NA,NA,NA,0,0,637992,NA,2,14,10.0204039202227,NA,NA,37.3,126.924920542559,917044228.012679,-1.48407568424221,NA,54.446,NA,23.9234769024771,NA,NA,"GDP_growth 1990; Pop. density 2018; GDP 1990; GDP_per.capital_1990; Forest%_2016"
"SPM","Saint Pierre and Miquelon",NA,NA,NA,NA,NA,NA,NA,7,7,238,NA,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1,0,"Source of pop. density (2020): https://www.worldometers.info/world-population/saint-pierre-and-miquelon-population/"
"SSD","South Sudan",NA,NA,NA,NA,NA,NA,NA,98214,98214,633580,NA,2,14,NA,NA,NA,NA,1119.65133267823,11997800760.2242,-10.7933646271143,12.1499996185303,80.101,843.333101916466,17.36894,0.692195,0.692195,"GDP_growth 2015; Unemployment_total 2008; Income 2015; GDP 2015; GDP_per.capita_2015; Pop. density 2018"
"SWE","Sweden",NA,NA,NA,NA,NA,NA,NA,64987,64987,449390,NA,150,154,68.9229333922565,65.6,99.3,78.7,51610.0660552202,530832908737.862,1.19485342626979,6.83260011672974,12.292,46113.9331199431,24.9814981218237,0.76777,0.656967,"Pop. density 2018; Income 2018; Forest%_2016"
"SXM","Sint Maarten (Dutch part)",NA,NA,NA,NA,NA,NA,NA,0,0,36,NA,419,29,NA,NA,NA,NA,NA,NA,-8.42588395285586,NA,0,NA,1193.35294117647,NA,NA,"GDP_growth 2017; Pop. density 2017"
"SYC","Seychelles",NA,NA,NA,NA,NA,NA,NA,300,300,487,NA,2,14,88.4130394977072,NA,NA,58.2,17401.7215135612,1698843062.76141,4.70811443122183,2.95070004463196,42.881,13472.3426380599,210.352173913043,1,1,"Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"SYR","Syrian Arab Republic",NA,NA,NA,NA,NA,NA,NA,1293,1293,188613,NA,142,145,2.843108425,NA,NA,NA,2032.623489,40405006007,5.7,8.61,45.179,1590.991,92.06711,NA,NA,"GDP_Per.capita 2007; GDP 2007; GDP_growth 2007; Unemployment_total 2010; Pop. density 2018; Adjusted_income 2007; %forest 2018"
"TCA","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,452,452,1018,NA,419,29,36.2105279219778,NA,NA,NA,27142.2277976902,1022312010,5.28208549380973,8.30000019073486,6.64,24000.9585014704,39.6473684210526,0.997992,0,"GDP_growth 2018; Unemployment_total 2008; Pop. density 2018; Income 2018; GDP 2018; GDP_per.capita_2018; Forest%_2016"
"TKL","Tokelau",NA,NA,NA,NA,NA,NA,NA,1,1,15,NA,9,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,NA,"Source of pop. density (2020): https://www.worldometers.info/world-population/tokelau-population/"
"TON","Tonga",NA,NA,NA,NA,NA,NA,NA,96,96,767,NA,9,61,12.5,46,NA,45.1,4364.0155613495,450353313.884584,0.299994244658407,3.06859993934631,76.893,4040.00900802959,143.329166666667,0.882022,0.867978,"GDP_growth 2018; Unemployment_total 2018; Pop. density 2018; Income 2018; GDP 2018; GDP_per.capita_2018; Forest%_2016; SPI=censored"
"TUV","Tuvalu",NA,NA,NA,NA,NA,NA,NA,6,6,42,NA,9,61,33.3333333333333,NA,NA,NA,4059.02999569444,47271463.3298575,9.75609756097559,8.48910045623779,36.785,NA,383.6,0,0,"Unemployment_total 2016; Pop. density 2018; Forest%_2016"
"UMI","United States Minor Outlying Islands",NA,NA,NA,NA,NA,NA,NA,363,363,363,NA,9,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VAT","Vatican",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VIR","United States Virgin islands",NA,NA,NA,NA,NA,NA,NA,54,54,376,NA,419,29,49.9714279174806,NA,NA,NA,35938.0243875154,3.855e+09,-1.69654289372629,NA,4.16800000000001,NA,305.648571428571,0.4,0.129412,"GDP_growth 2017; Pop. density 2018; GDP 2017; GDP_per.capita_2017; Forest%_2016"
"VUT","Vanuatu",NA,NA,NA,NA,NA,NA,NA,528,528,12575,NA,9,54,36.0951599671862,NA,23,28.9,3058.0656752208,917058850.816563,2.91056029749792,1.84759998321533,74.606,2834.92026389029,24.0098441345365,0.001701,0,"Unemployment_total 2010; Pop. density 2018; Income 2018; Forest%_2016"
"WLF","Wallis and Futuna",NA,NA,NA,NA,NA,NA,NA,0,0,181,NA,9,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,1,1,"Source of pop. density (2020): https://www.worldometers.info/world-population/wallis-and-futuna-islands-population/"
"WSM","Samoa",NA,NA,NA,NA,NA,NA,NA,238,238,2894,NA,9,61,60.4240282685512,NA,NA,NA,4315.92067469565,850655017.220488,3.4728781472578,14.4718999862671,81.944,3569.48523873444,69.3038869257951,0.95356,0.834675,"Unemployment_total 2017; Pop. density 2018; Income 2018; Forest%_2016; SPI=censored"
"YEM","Yemen",NA,NA,NA,NA,NA,NA,NA,3520,3520,455939,NA,142,145,1.03983180862549,NA,NA,NA,968.159047582999,27591261663.286,0.752598678967971,13.4671001434326,62.727,906.17297667894,53.9778529083092,NA,NA,"GDP_growth 2018; Unemployment_total 2014; Pop. density 2018; Income 2018; GDP 2018; GDP_per.capita_2018; Forest%_2016"
